avroraNT.log,1,8870
batikNT.log,1,516
cryptNT.log,1,23837
h2NT.log,1,152523
jythonNT.log,1,10453
lufactNT.log,1,34569
lusearchNT.log,1,1380
pmdNT.log,1,1123
sunflowNTABORTED.log,1,128240
tomcatFull.log,1,62052
xalanFull.log,1,32900
avroraNT.log,2,8842
batikNT.log,2,518
cryptNT.log,2,23600
h2NT.log,2,152015
jythonNT.log,2,10439
lufactNT.log,2,34929
lusearchNT.log,2,1364
pmdNT.log,2,1123
sunflowNTABORTED.log,2,118447
tomcatFull.log,2,86125
xalanFull.log,2,34705
avroraNT.log,3,8943
batikNT.log,3,516
cryptNT.log,3,23577
h2NT.log,3,156271
jythonNT.log,3,10634
lufactNT.log,3,35101
lusearchNT.log,3,1393
pmdNT.log,3,1129
sunflowNTABORTED.log,3,121836
tomcatFull.log,3,107506
xalanFull.log,3,36414
avroraNT.log,5,9203
batikNT.log,5,529
cryptNT.log,5,24374
h2NT.log,5,154113
jythonNT.log,5,10389
lufactNT.log,5,35097
lusearchNT.log,5,1428
pmdNT.log,5,1125
sunflowNTABORTED.log,5,119724
tomcatFull.log,5,134367
xalanFull.log,5,37912
avroraNT.log,10,9178
batikNT.log,10,539
cryptNT.log,10,24597
h2NT.log,10,154909
jythonNT.log,10,10698
lufactNT.log,10,35064
lusearchNT.log,10,1427
pmdNT.log,10,1128
sunflowNTABORTED.log,10,120748
tomcatFull.log,10,197792
xalanFull.log,10,42801
avroraNT.log,20,9235
batikNT.log,20,539
cryptNT.log,20,24386
h2NT.log,20,153381
jythonNT.log,20,10587
lufactNT.log,20,34913
lusearchNT.log,20,1474
pmdNT.log,20,1130
sunflowNTABORTED.log,20,120096
tomcatFull.log,20,289232
xalanFull.log,20,50430
